Fecha	Magnitud Ml	Longitud	Latitud	Municipio	Profundidad Km	Estado
17/03/2017	2,1	-76,36	7,009	DABEIBA	19,3	Revisado
18/03/2017	2,1	-76,606	6,957	MURINDO	0	Revisado
18/03/2017	1,8	-76,595	6,953	MURINDO	0	Revisado
19/03/2017	1,9	-76,834	6,586	VIGIA DEL FUERTE	4	Revisado
19/03/2017	1,5	-75,657	7,481	TARAZA	44,7	Revisado
19/03/2017	1,5	-75,522	7,427	TARAZA	0	Revisado
20/03/2017	1,5	-76,6	6,915	MURINDO	0	Revisado
20/03/2017	1,1	-76,596	6,937	MURINDO	0	Revisado
20/03/2017	1,4	-74,002	6,986	YONDO	86,9	Revisado
20/03/2017	1,7	-76,569	6,442	VIGIA DEL FUERTE	9,1	Revisado
21/03/2017	1,9	-76,001	6,265	CAICEDO	0	Revisado
22/03/2017	1,6	-76,253	6,955	DABEIBA	0	Revisado
22/03/2017	1,2	-76,316	7,116	DABEIBA	1,6	Revisado
22/03/2017	1,4	-76,352	6,896	DABEIBA	0	Revisado
22/03/2017	2,5	-76,301	6,875	DABEIBA	0	Revisado
22/03/2017	2,7	-76,259	6,905	URAMITA	0	Revisado
22/03/2017	1,5	-76,291	6,892	DABEIBA	,1	Revisado
23/03/2017	1,4	-76,313	6,921	DABEIBA	,1	Revisado
23/03/2017	1,5	-75,16	7,232	ANORI	5,7	Revisado
23/03/2017	2,7	-76,286	6,871	URAMITA	0	Revisado
23/03/2017	1,3	-76,316	6,91	DABEIBA	0	Revisado
23/03/2017	1,8	-76,273	6,888	URAMITA	0	Revisado
23/03/2017	1,5	-76,313	6,848	URAMITA	0	Revisado
23/03/2017	1,8	-74,789	5,846	PUERTO TRIUNFO	3,4	Revisado
24/03/2017	1,3	-76,222	7,012	DABEIBA	49,7	Revisado
24/03/2017	2,2	-74,701	6,528	MACEO	12,2	Revisado
24/03/2017	1,4	-76,353	6,867	DABEIBA	4	Revisado
24/03/2017	1,6	-75,165	7,93	CAUCASIA	17,6	Revisado
24/03/2017	1,3	-75,606	6,982	TOLEDO	,1	Revisado
25/03/2017	1	-76,24	7,178	DABEIBA	1	Revisado
25/03/2017	1,2	-75,822	6,294	ANZA	4,5	Revisado
25/03/2017	2,9	-76,702	6,801	MURINDO	4	Revisado
25/03/2017	1,4	-75,704	6,679	BELMIRA	4,3	Revisado
25/03/2017	1,6	-76,015	5,825	CIUDAD BOLIVAR	64,6	Revisado
26/03/2017	1,1	-75,409	6,743	SANTA ROSA DE OSOS	4	Revisado
26/03/2017	1,8	-76,143	6,908	URAMITA	0	Revisado
27/03/2017	1,2	-74,992	7,383	ZARAGOZA	38,6	Revisado
27/03/2017	1,2	-76,195	7,181	DABEIBA	0	Revisado
27/03/2017	1,4	-76,69	6,689	VIGIA DEL FUERTE	4	Revisado
27/03/2017	1,3	-76,532	6,641	VIGIA DEL FUERTE	8,9	Revisado
28/03/2017	2	-76,627	6,922	MURINDO	1,4	Revisado
28/03/2017	,8	-75,677	7,134	ITUANGO	4,1	Revisado
28/03/2017	1,6	-76,725	6,764	MURINDO	16,7	Revisado
28/03/2017	1,6	-76,274	6,939	DABEIBA	0	Revisado
28/03/2017	1	-76,193	6,913	URAMITA	0	Revisado
28/03/2017	1,7	-74,875	5,871	SAN LUIS	4	Revisado
29/03/2017	1,4	-76,686	6,767	MURINDO	91,2	Revisado
29/03/2017	1,3	-74,956	6,989	AMALFI	20,1	Revisado
30/03/2017	1,1	-74,457	6,219	PUERTO NARE	22,1	Revisado
30/03/2017	1,2	-74,919	7,036	AMALFI	7,1	Revisado
30/03/2017	1,4	-76,27	7,185	MUTATA	0	Revisado
30/03/2017	1,5	-76,157	7,097	DABEIBA	0	Revisado
31/03/2017	1,1	-76,02	7,405	ITUANGO	0	Revisado
31/03/2017	1,4	-75,51	5,769	ABEJORRAL	4	Revisado
31/03/2017	1,4	-76,67	6,725	VIGIA DEL FUERTE	16,9	Revisado
31/03/2017	1,5	-76,775	6,738	VIGIA DEL FUERTE	20	Revisado
